staSeq,locationNa,ylat,xlong,munName,ComID,HydroID,LCODE,maxD,source,holD
"15869",North Grosvenordale,41.993299999999998,-71.895600000000002,THOMPSON,"122365425","201485599",NGD,,,
"20763",Whites Pond,41.995860000000000,-72.726460000000003,SUFFIELD,"123001588","201488028",WHT,4.0000000000,ABM,2.9980331840
"16153",South Pond,42.010399999999997,-73.482699999999994,SALISBURY,"122945662","201489673",MRL,6.0960000000,Fisheries,6.4082420890
"15085",Mashapaug Pond,42.014299999999999,-72.132000000000005,UNION,"116129668","201486141",MAS,12.1920000000,Fisheries,14.3584278000
"20842",Breakneck Pond,42.017141000000002,-72.111969999999999,UNION,"122374117","201485800",BRE,4.2672000000,Fisheries,7.8210019670
"19309",Colebrook River Lake,42.020986999999998,-73.047194000000005,COLEBROOK,"123632759","201488543",CRL,,,40.5700564600
"15864",Riga Lake,42.021000000000001,-73.481600000000000,SALISBURY,"122945660","201489673",RIG,10.6680000000,Fisheries,11.0391472100
"19994",State Line Pond,42.023099999999999,-72.316000000000003,STAFFORD,"116112204","201486515",STL,2.4384000000,Fisheries,1.7490791340
"15875",Lake Triangle,42.024099999999997,-73.104699999999994,COLEBROOK,"123632817","201488569",TRI,,,9.9410012650
"16007",East Twin Lake (Washinee Lake),42.025300000000001,-73.382900000000006,SALISBURY,"122986080","201489289",EAS,24.3840000000,Fisheries,19.9709481800
"19377",Wood Creek Pond,42.026000000000003,-73.192999999999998,NORFOLK,"122986079","201489025",WOO,2.4384000000,Fisheries,16.9383612700
JBPD,Job's Pond,41.571327410000002,-72.589929459999993,Portland,"123010710","201493266",JOB,,,6.1892352820
SMRS,Samp Mortar Reservoir,41.190768270000000,-73.260585629999994,Fairfield,"122240811","201496864",SMR,,,2.3226427180
HTKL,Hitchcock Lake,41.563333329999999,-72.951111109999999,Wolcott,"122976745","201494235",HIT,3.0480000000,Fisheries,6.3278490450
FTVP,Fitchville Pond,41.560000000000002,-72.160555560000006,Bozrah,"121933741","201492432",FTP,,,0.6810567230
HOWP,Howell Pond,42.022500000000001,-72.993611110000003,Hartland,"123632819","201488203",HOW,3.3528000000,Fisheries,4.2237714120
SSPL,South Spectacle Lake,41.716666670000002,-73.419444440000007,Kent,"122954793","201493327",SSP,13.4112000000,Fisheries,6.4452251920
WRTP,Wright's Pond,41.334166670000002,-72.474999999999994,"Westbrook, Essex, Deep River","123017416","201495540",WRP,,,
EMNP,Emmons Pond,42.018056000000001,-72.917221999999995,Hartland,,,,,,
GRGP,Griggs Pond,42.004722219999998,-72.087500000000006,Woodstock,"122374231","201486031",GRG,,,
GSWP,Griswold Pond (1860 Reservoir),41.676388889999998,-72.695277779999998,Wethersfield,"123006968","201492260",GRW,,,2.0488805680
